player_id	team_id	team_name	Jersey	Player	Yr	Pos	GP	GS	G	BA	OBPct	SlgPct	R	AB	H	2B	3B	TB	HR	RBI	BB	HBP	SF	SH	K	DP	CS	Picked	SB	RBI2out
1974529	164	UConn	30	Phillips, Thad	Jr	C	33	29	0	0.257	0.333	0.381	17	113	29	8	0	43	2	20	11	2	0	1	33	3	1	0	1	0
1766365	164	UConn	19	Poulin, P.J.	Jr	P	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1870954	164	UConn	18	Wallace, Jacob	So	P	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1870950	164	UConn	13	Nucerino, Anthony	So	OF	25	10	0	0.229	0.383	0.250	10	48	11	1	0	12	0	3	11	1	0	1	15	2	1	0	2	0
1974525	164	UConn	38	Kersten, Jeff	Jr	P	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1974509	164	UConn	6	Hague, Andy	Fr	INF	18	2	0	0.231	0.214	0.308	3	13	3	1	0	4	0	2	0	0	1	0	4	0	0	0	0	0
1639037	164	UConn	39	Dandeneau, CJ	Jr	P	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1870946	164	UConn	21	Feole, Mason	So	P	16	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1540616	164	UConn	42	Holmes, Trevor	Sr	P	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1974530	164	UConn	25	Simeone, Joe	Fr	P	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1974507	164	UConn	10	Dunlop, Colby	Fr	P	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1974508	164	UConn	37	Gardner, Chase	Jr	P	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1870943	164	UConn	4	Bergmann, Kenny	So	C	11	0	0	0.091	0.167	0.091	1	11	1	0	0	1	0	0	1	0	0	0	6	0	0	0	0	0
1639035	164	UConn	45	Rajkowski, Dan	Jr	P	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1766371	164	UConn	36	Cate, Tim	Jr	P	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1766374	164	UConn	43	Rossomando, Ronnie	Jr	P	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1974376	164	UConn	5	Bonvicini, Matt	Fr	1B	7	1	0	0.000	0.000	0.000	1	10	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
1974526	164	UConn	22	Maycock, Ben	Fr	OF	6	0	0	0.000	0.333	0.000	4	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
1639030	164	UConn	12	Rivera, Joe	Sr	P	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1974528	164	UConn	31	Pallisco, Vinnie	Jr	1B	5	1	0	0.167	0.286	0.167	0	6	1	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0
1974511	164	UConn	44	Santos, Avery	Jr	P	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1755198	165	Coppin St.	26	McILwain, Nazier	Jr	1B	45	45	0	0.323	0.404	0.433	27	164	53	12	0	71	2	41	26	1	7	0	32	5	0	0	1	0
1869136	165	Coppin St.	1	Treyes, Corey	So	P	43	36	0	0.229	0.392	0.339	24	118	27	7	3	40	0	20	24	9	2	6	27	4	0	0	4	0
1998706	165	Coppin St.	9	Castillo, Marcos	Fr	CF	42	40	0	0.303	0.374	0.467	25	152	46	9	5	71	2	31	14	5	3	1	28	4	4	0	12	0
1869126	165	Coppin St.	55	Helmbrecht, Brett	Sr	C	41	36	0	0.242	0.380	0.308	12	120	29	6	1	37	0	16	27	1	2	2	28	0	1	0	2	0
1755188	165	Coppin St.	15	Crossman, Erik	Jr	INF	41	34	0	0.276	0.366	0.343	28	134	37	9	0	46	0	23	15	4	0	3	18	6	0	0	2	0
1998725	165	Coppin St.	5	Lohr, Derek	Fr	SS	40	39	0	0.365	0.453	0.431	28	137	50	9	0	59	0	18	22	1	1	2	19	3	0	0	4	0
1869122	165	Coppin St.	7	Duhay, Caleb	Sr	C	40	35	0	0.336	0.381	0.514	28	146	49	12	4	75	2	26	7	5	2	4	21	0	8	0	20	0
1869134	165	Coppin St.	24	Santana, Andres	Sr	OF	38	37	0	0.308	0.425	0.343	35	143	44	5	0	49	0	21	25	5	1	4	26	2	5	0	22	0
1869131	165	Coppin St.	8	Saar, Allen	So	INF	35	29	0	0.337	0.483	0.391	21	92	31	1	2	36	0	12	21	6	1	4	34	2	7	0	5	0
1998707	165	Coppin St.	30	Dyal, Devyan	Fr	3B	32	15	0	0.116	0.269	0.116	3	43	5	0	0	5	0	1	8	1	0	0	16	0	0	0	1	0
1998684	165	Coppin St.	25	Thomas, Drew	Jr	LF	30	24	0	0.175	0.324	0.250	10	80	14	3	0	20	1	8	14	5	3	1	24	2	0	0	0	0
1755186	165	Coppin St.	18	Alviarez, Carlos	Jr	OF	20	13	0	0.302	0.415	0.358	15	53	16	3	0	19	0	8	8	3	1	0	13	2	0	0	2	0
1869132	165	Coppin St.	28	Sabino, Jonathan	So	C	15	6	0	0.095	0.240	0.095	1	21	2	0	0	2	0	0	4	0	0	0	5	1	0	0	0	0
2001782	165	Coppin St.	20	Tuttle, Bradley	Fr	P	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1755187	165	Coppin St.	14	Taylor, Jahmon	Jr	P	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
