team_id	team_name	team_games	team_BA	team_OBPpct	team_SLGpct	team_AB	team_R	team_H	team_2B	team_3B	team_TB	team_HR	team_RBI	team_BB	team_HBP	team_SF	team_SH	team_K	team_DP	team_SB	team_CS	team_Picked	opp_team_games	opp_team_BA	opp_team_OBPpct	opp_team_SLGpct	opp_team_AB	opp_team_R	opp_team_H	opp_team_2B	opp_team_3B	opp_team_TB	opp_team_HR	opp_team_RBI	opp_team_BB	opp_team_HBP	opp_team_SF	opp_team_SH	opp_team_K	opp_team_DP	opp_team_SB	opp_team_CS	opp_team_Picked
521	Oklahoma St.		0.259	0.356	0.436	1,825	321	473	106	11	796	65	287	232	53	17	20	507	36	56	18			0.275	0.380	0.390	1,566	257	431	83	12	610	24	226	238	38	18	18	381	32	64	17	
7	Alabama St.		0.300	0.399	0.418	1,821	360	547	94	11	762	33	321	234	86	31	35	359	49	78	19			0.284	0.367	0.378	1,675	292	476	87	8	633	18	247	178	54	22	29	376	26	63	16	
523	Old Dominion		0.279	0.346	0.398	1,778	253	496	76	12	707	37	225	160	33	18	28	380	49	41	22			0.299	0.377	0.443	1,522	264	455	96	11	675	34	240	168	36	21	35	276	33	45	14	
1014	Col. of Charleston		0.278	0.353	0.425	1,835	307	511	96	10	780	51	278	185	39	21	42	324	37	79	33			0.229	0.293	0.299	1,563	169	358	49	5	468	17	151	106	39	10	23	404	40	28	13	
367	Louisville		0.289	0.397	0.422	1,989	408	575	120	15	839	38	374	307	71	32	36	387	45	116	23			0.212	0.319	0.302	1,541	194	327	59	8	465	21	173	210	36	11	13	451	28	40	18	
365	LSU		0.285	0.368	0.424	2,063	372	587	117	16	874	46	348	239	47	25	32	387	59	63	17			0.247	0.334	0.368	1,603	226	396	80	6	590	34	204	174	41	9	23	409	31	46	14	
528	Oregon St.		0.318	0.413	0.485	1,880	410	598	125	16	911	52	375	275	46	22	56	330	53	42	14			0.234	0.323	0.336	1,409	175	330	58	4	474	26	161	146	45	11	33	374	29	12	14	
363	Longwood		0.224	0.331	0.315	1,791	229	401	76	9	564	23	209	237	56	10	38	430	30	87	25			0.282	0.408	0.401	1,587	354	447	81	11	637	29	302	288	69	27	24	405	20	86	17	
361	LIU Brooklyn		0.271	0.377	0.406	1,823	322	494	99	11	741	42	290	269	56	23	19	405	38	84	29			0.275	0.383	0.398	1,484	239	408	89	6	590	27	204	228	39	12	20	358	37	58	22	
308	Fort Wayne		0.244	0.327	0.323	1,540	183	376	52	9	497	17	162	161	32	9	14	327	36	28	12			0.326	0.424	0.445	1,324	313	432	90	8	589	17	267	192	51	25	36	251	20	65	21	
